剧名称,group_title,发弹幕时刻相对于视频起始时间偏移量,累计点赞数,弹幕内容
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,194389,5,[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,230014,1,可是他好可爱啊
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,96219,47,免费治疗了[捂脸]
幸得相遇离婚时,第4集,84258,0,刘萧旭原声是短剧界最好的，请多用原声
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,239415,0,好帅啊！
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,82954,0,大哥凭实力养一大家子[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,240564,0,怎么忍住不笑的
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,91244,0,英宝来了
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,61069,0,老大：亏大了
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,9189,0,等太久了[赞]
那年冬至,第1集,88644,0,好可爱[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,102988,0,好油腻
幸得相遇离婚时,第3集,2671,0,可能是他的孩子[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,38681,0,[捂脸]小少爷那么没排面~
那年冬至,第1集,1677,0,妈呀，这开头的画面也太美了吧[送花][送花][送花][鼓掌]
撕夜,第1集,221814,0,太感人了呜呜
云渺1：我修仙多年强亿点怎么了,第1集,88110,0,对周老爷子，也是仆人也有四个。
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,98089,0,真会说[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,118848,0,[什么]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,163845,0,这个也帅[舔屏][舔屏]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,237608,0,好帅啊
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,42480,0,有问题，肯定是司机的孩子。
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,18350,0,老三死了吗 ？
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,10415,0,这个女人，肯定是会图钱的
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,68731,0,哇哇哇哇
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,64083,0,7749是多少天
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,5795,0,添添要来了吗
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,109173,5,老五吓得口不择言了[笑哭][笑哭][笑哭][笑哭]
天下第一纨绔,第1集,71479,0,勾栏
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,115243,0,想笑
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,105501,0,好油[捂脸]
家里家外,第4集,127038,0,二刷了[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,202746,0,奥特曼[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,117985,70,瓦学弟
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,861,0,三刷了，三刷了看完这个就四刷了
撕夜,第5集,68789,1,[爽][爽][爽]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,180547,0,这出场太酷炫了吧
那年冬至,第2集,77333,0,哈哈哈哈太逗了
那年冬至,第4集,45340,0,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
那年冬至,第3集,130470,0,扭头盖被子，转身拉掉[捂脸]
云渺1：我修仙多年强亿点怎么了,第1集,1767,0,五刷
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,118671,0,[捂脸][捂脸][捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,20036,0,终于上线了，你都不知道我等了多长时间
